_Id,_PostId,_VoteTypeId,_CreationDate
364,60,2,2012-03-13T00:00:00.000
12033,60,2,2015-01-15T00:00:00.000
24020,60,2,2017-01-04T00:00:00.000
37036,60,2,2020-09-07T00:00:00.000
229,61,2,2012-02-27T00:00:00.000
263,61,2,2012-02-29T00:00:00.000
264,61,1,2012-02-29T00:00:00.000
226,62,2,2012-02-27T00:00:00.000
230,62,2,2012-02-27T00:00:00.000
237,62,2,2012-02-27T00:00:00.000
268,62,3,2012-03-03T00:00:00.000
270,62,2,2012-03-04T00:00:00.000
341,62,3,2012-03-08T00:00:00.000
363,62,3,2012-03-13T00:00:00.000
2731,62,3,2013-02-23T00:00:00.000
224,63,2,2012-02-26T00:00:00.000
227,63,2,2012-02-27T00:00:00.000
254,63,2,2012-02-27T00:00:00.000
258,63,2,2012-02-28T00:00:00.000
260,63,2,2012-02-29T00:00:00.000
340,63,2,2012-03-08T00:00:00.000
361,63,2,2012-03-13T00:00:00.000
231,64,2,2012-02-27T00:00:00.000
253,64,2,2012-02-27T00:00:00.000
3610,64,2,2013-08-20T00:00:00.000
232,65,3,2012-02-27T00:00:00.000
238,65,2,2012-02-27T00:00:00.000
247,65,2,2012-02-27T00:00:00.000
252,65,2,2012-02-27T00:00:00.000
262,65,1,2012-02-29T00:00:00.000
3617,65,2,2013-08-22T00:00:00.000
3649,65,2,2013-09-02T00:00:00.000
246,66,2,2012-02-27T00:00:00.000
3572,66,2,2013-08-10T00:00:00.000
5348,66,2,2014-04-29T00:00:00.000
23849,66,2,2016-12-21T00:00:00.000
236,67,2,2012-02-27T00:00:00.000
250,67,2,2012-02-27T00:00:00.000
255,67,2,2012-02-27T00:00:00.000
261,67,2,2012-02-29T00:00:00.000
269,67,2,2012-03-04T00:00:00.000
275,67,2,2012-03-05T00:00:00.000
282,67,2,2012-03-06T00:00:00.000
362,67,3,2012-03-13T00:00:00.000
393,67,2,2012-03-19T00:00:00.000
3510,67,1,2013-07-29T00:00:00.000
26030,67,2,2017-10-25T00:00:00.000
37038,67,2,2020-09-07T00:00:00.000
37039,67,2,2020-09-07T00:00:00.000
249,68,2,2012-02-27T00:00:00.000
338,68,2,2012-03-08T00:00:00.000
248,69,2,2012-02-27T00:00:00.000
251,69,2,2012-02-27T00:00:00.000
3615,69,2,2013-08-21T00:00:00.000
3650,69,2,2013-09-02T00:00:00.000
265,70,2,2012-03-02T00:00:00.000
267,70,2,2012-03-02T00:00:00.000
280,70,2,2012-03-06T00:00:00.000
266,71,2,2012-03-02T00:00:00.000
276,71,2,2012-03-05T00:00:00.000
367,71,1,2012-03-13T00:00:00.000
273,72,2,2012-03-04T00:00:00.000
278,72,2,2012-03-06T00:00:00.000
279,72,3,2012-03-06T00:00:00.000
874,72,2,2012-09-18T00:00:00.000
887,72,2,2012-09-23T00:00:00.000
926,72,2,2012-10-12T00:00:00.000
1443,72,2,2013-01-07T00:00:00.000
38175,72,2,2021-01-09T00:00:00.000
283,73,2,2012-03-06T00:00:00.000
310,73,2,2012-03-07T00:00:00.000
21903,73,3,2016-08-16T00:00:00.000
22036,73,2,2016-08-21T00:00:00.000
32295,73,2,2019-05-14T00:00:00.000
285,74,2,2012-03-06T00:00:00.000
286,74,2,2012-03-06T00:00:00.000
287,75,2,2012-03-07T00:00:00.000
288,75,1,2012-03-07T00:00:00.000
290,75,2,2012-03-07T00:00:00.000
21904,75,3,2016-08-16T00:00:00.000
22198,75,2,2016-09-04T00:00:00.000
291,76,2,2012-03-07T00:00:00.000
337,76,2,2012-03-08T00:00:00.000
32296,76,2,2019-05-14T00:00:00.000
305,77,2,2012-03-07T00:00:00.000
334,77,2,2012-03-08T00:00:00.000
350,77,2,2012-03-10T00:00:00.000
381,77,2,2012-03-16T00:00:00.000
313,78,2,2012-03-07T00:00:00.000
354,78,2,2012-03-11T00:00:00.000
303,79,2,2012-03-07T00:00:00.000
306,79,2,2012-03-07T00:00:00.000
404,79,2,2012-03-21T00:00:00.000
314,80,2,2012-03-07T00:00:00.000
493,80,2,2012-05-13T00:00:00.000
321,81,2,2012-03-08T00:00:00.000
335,81,2,2012-03-08T00:00:00.000
