_Id,_UserId,_Name,_Date,_Class,_TagBased
8636,22157,Autobiographer,2015-01-24T16:16:16.510,3,False
8637,15996,Autobiographer,2015-01-24T17:42:03.170,3,False
8640,4372,Autobiographer,2015-01-25T04:50:17.090,3,False
8642,21425,Autobiographer,2015-01-25T06:01:08.790,3,False
8648,28419,Autobiographer,2015-01-25T21:56:14.143,3,False
8651,28427,Autobiographer,2015-01-26T03:50:07.853,3,False
8652,28428,Autobiographer,2015-01-26T05:14:49.660,3,False
8654,27732,Autobiographer,2015-01-26T11:03:45.240,3,False
8656,28280,Autobiographer,2015-01-26T13:28:18.430,3,False
8657,27628,Autobiographer,2015-01-26T13:47:53.697,3,False
8658,24592,Autobiographer,2015-01-26T15:01:18.003,3,False
8659,28452,Autobiographer,2015-01-26T15:46:23.283,3,False
8660,27884,Autobiographer,2015-01-26T18:55:07.890,3,False
8661,28299,Autobiographer,2015-01-26T21:33:52.623,3,False
8663,24606,Autobiographer,2015-01-26T23:17:36.350,3,False
8665,10187,Autobiographer,2015-01-27T09:53:47.983,3,False
8667,22154,Autobiographer,2015-01-27T11:59:05.997,3,False
8668,28515,Autobiographer,2015-01-27T16:48:38.403,3,False
8669,19988,Autobiographer,2015-01-27T21:24:06.907,3,False
8670,11737,Autobiographer,2015-01-27T23:12:17.430,3,False
8671,28539,Autobiographer,2015-01-28T01:37:10.583,3,False
8673,22550,Autobiographer,2015-01-28T12:53:09.707,3,False
8675,9665,Autobiographer,2015-01-28T15:14:04.037,3,False
8678,9397,Autobiographer,2015-01-28T15:44:24.080,3,False
8679,9515,Autobiographer,2015-01-28T16:51:49.407,3,False
8681,28595,Autobiographer,2015-01-28T17:39:15.257,3,False
8684,15291,Autobiographer,2015-01-28T21:06:13.760,3,False
8685,27111,Autobiographer,2015-01-29T02:07:54.150,3,False
8687,22000,Autobiographer,2015-01-29T11:23:13.363,3,False
8690,24382,Autobiographer,2015-01-29T18:35:42.677,3,False
8692,263,Autobiographer,2015-01-30T00:12:11.737,3,False
8699,28649,Autobiographer,2015-01-30T21:06:10.387,3,False
8700,28653,Autobiographer,2015-01-30T21:21:13.107,3,False
8701,11288,Autobiographer,2015-01-30T21:40:16.540,3,False
8703,8542,Autobiographer,2015-01-31T02:42:02.030,3,False
8706,11924,Autobiographer,2015-01-31T08:59:51.303,3,False
8711,28699,Autobiographer,2015-02-01T15:50:40.740,3,False
8713,28772,Autobiographer,2015-02-01T18:23:40.940,3,False
8724,28202,Autobiographer,2015-02-03T14:18:08.910,3,False
8728,11633,Autobiographer,2015-02-04T02:37:31.877,3,False
8736,28191,Autobiographer,2015-02-04T15:11:22.077,3,False
8738,28402,Autobiographer,2015-02-04T17:52:19.733,3,False
8739,24983,Autobiographer,2015-02-04T18:38:18.930,3,False
8740,27546,Autobiographer,2015-02-05T08:15:01.650,3,False
8742,17459,Autobiographer,2015-02-05T17:22:51.223,3,False
8743,26526,Autobiographer,2015-02-05T21:06:50.577,3,False
