_Id,_PostId,_VoteTypeId,_CreationDate
392,102,2,2016-02-12T00:00:00.000
394,102,2,2016-02-13T00:00:00.000
412,102,2,2016-02-15T00:00:00.000
413,102,1,2016-02-16T00:00:00.000
554,102,2,2016-06-12T00:00:00.000
417,103,2,2016-02-25T00:00:00.000
631,103,2,2016-11-18T00:00:00.000
395,104,2,2016-02-13T00:00:00.000
396,104,1,2016-02-13T00:00:00.000
1157,104,2,2018-11-15T00:00:00.000
1178,104,2,2019-01-08T00:00:00.000
397,105,2,2016-02-15T00:00:00.000
416,105,2,2016-02-24T00:00:00.000
446,105,3,2016-04-12T00:00:00.000
470,105,10,2016-04-27T00:00:00.000
402,106,2,2016-02-15T00:00:00.000
406,106,2,2016-02-15T00:00:00.000
445,106,2,2016-04-12T00:00:00.000
588,106,2,2016-07-10T00:00:00.000
404,107,2,2016-02-15T00:00:00.000
405,107,1,2016-02-15T00:00:00.000
458,107,2,2016-04-13T00:00:00.000
639,108,3,2016-11-18T00:00:00.000
1130,108,2,2018-10-19T00:00:00.000
421,109,2,2016-03-07T00:00:00.000
423,110,2,2016-03-14T00:00:00.000
448,110,2,2016-04-12T00:00:00.000
428,111,2,2016-03-18T00:00:00.000
644,111,2,2016-11-18T00:00:00.000
1055,111,2,2018-09-04T00:00:00.000
429,112,2,2016-03-18T00:00:00.000
433,112,2,2016-03-24T00:00:00.000
430,113,2,2016-03-20T00:00:00.000
766,113,2,2017-05-30T00:00:00.000
431,114,2,2016-03-23T00:00:00.000
432,114,2,2016-03-23T00:00:00.000
456,114,3,2016-04-12T00:00:00.000
479,114,2,2016-05-03T00:00:00.000
765,114,2,2017-05-30T00:00:00.000
1934,115,2,2022-06-05T00:00:00.000
438,117,2,2016-03-28T00:00:00.000
1047,117,2,2018-09-03T00:00:00.000
460,118,2,2016-04-14T00:00:00.000
643,118,2,2016-11-18T00:00:00.000
461,119,2,2016-04-14T00:00:00.000
439,120,2,2016-04-11T00:00:00.000
440,120,3,2016-04-11T00:00:00.000
455,121,2,2016-04-12T00:00:00.000
462,122,2,2016-04-14T00:00:00.000
450,123,2,2016-04-12T00:00:00.000
647,123,2,2016-11-18T00:00:00.000
451,124,2,2016-04-12T00:00:00.000
454,124,2,2016-04-12T00:00:00.000
709,124,2,2017-01-02T00:00:00.000
453,125,2,2016-04-12T00:00:00.000
710,125,2,2017-01-02T00:00:00.000
457,126,2,2016-04-13T00:00:00.000
464,126,2,2016-04-14T00:00:00.000
530,126,2,2016-06-10T00:00:00.000
658,126,2,2016-11-24T00:00:00.000
903,126,2,2018-07-05T00:00:00.000
459,127,2,2016-04-14T00:00:00.000
467,127,1,2016-04-16T00:00:00.000
916,127,2,2018-07-10T00:00:00.000
1129,127,2,2018-10-19T00:00:00.000
466,128,2,2016-04-14T00:00:00.000
503,128,2,2016-05-11T00:00:00.000
529,128,2,2016-06-10T00:00:00.000
542,128,2,2016-06-12T00:00:00.000
748,128,2,2017-03-17T00:00:00.000
475,129,2,2016-05-03T00:00:00.000
611,129,2,2016-11-18T00:00:00.000
469,131,2,2016-04-27T00:00:00.000
476,131,2,2016-05-03T00:00:00.000
490,131,2,2016-05-04T00:00:00.000
612,131,2,2016-11-18T00:00:00.000
527,132,2,2016-06-10T00:00:00.000
628,132,2,2016-11-18T00:00:00.000
528,133,2,2016-06-10T00:00:00.000
473,134,2,2016-05-03T00:00:00.000
478,134,2,2016-05-03T00:00:00.000
535,134,2,2016-06-12T00:00:00.000
627,134,2,2016-11-18T00:00:00.000
985,134,2,2018-08-07T00:00:00.000
988,134,2,2018-08-07T00:00:00.000
1163,134,2,2018-12-06T00:00:00.000
1168,134,2,2018-12-07T00:00:00.000
1169,134,2,2018-12-13T00:00:00.000
474,135,2,2016-05-03T00:00:00.000
485,135,2,2016-05-04T00:00:00.000
486,135,2,2016-05-04T00:00:00.000
505,135,2,2016-05-12T00:00:00.000
638,135,2,2016-11-18T00:00:00.000
838,135,2,2018-05-24T00:00:00.000
843,135,2,2018-05-25T00:00:00.000
847,135,2,2018-05-31T00:00:00.000
536,136,2,2016-06-12T00:00:00.000
833,136,2,2018-05-24T00:00:00.000
848,136,2,2018-06-01T00:00:00.000
1170,136,2,2018-12-13T00:00:00.000
986,137,2,2018-08-07T00:00:00.000
1236,137,2,2019-04-11T00:00:00.000
482,138,2,2016-05-03T00:00:00.000
487,138,3,2016-05-04T00:00:00.000
610,138,3,2016-11-18T00:00:00.000
483,139,2,2016-05-03T00:00:00.000
882,139,2,2018-06-22T00:00:00.000
484,140,2,2016-05-03T00:00:00.000
881,140,2,2018-06-22T00:00:00.000
488,141,2,2016-05-04T00:00:00.000
555,141,2,2016-06-12T00:00:00.000
637,141,2,2016-11-18T00:00:00.000
1329,141,2,2019-06-24T00:00:00.000
1523,141,2,2020-03-28T00:00:00.000
1952,141,2,2022-06-12T00:00:00.000
492,142,2,2016-05-04T00:00:00.000
556,142,2,2016-06-12T00:00:00.000
495,143,2,2016-05-06T00:00:00.000
1126,143,2,2018-10-18T00:00:00.000
489,144,2,2016-05-04T00:00:00.000
636,145,2,2016-11-18T00:00:00.000
1131,145,2,2018-10-19T00:00:00.000
493,146,2,2016-05-04T00:00:00.000
494,146,2,2016-05-05T00:00:00.000
1132,146,2,2018-10-19T00:00:00.000
